Unnamed: 0,ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status
45140,70030,2019,cf,Joint,nopre,type3,p4,l1,nopc,nob/c,516500,2.75,-0.7592,6741.43,360.0,not_neg,not_int,not_lpsm,698000.0,sb,pr,home,1U,,CRIF,690,EXP,65-74,to_inst,73.99713467,North,direct,0
109976,134866,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,186500,2.875,0.1488,7158.88,180.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,3720.0,EXP,886,CIB,55-64,to_inst,49.33862434,south,direct,0
97439,122329,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,556500,4.875,1.2877,10962.5,360.0,neg_amm,not_int,not_lpsm,708000.0,sb,pr,home,1U,17160.0,CIB,632,EXP,45-54,to_inst,78.60169492,North,direct,0
72663,97553,2019,cf,Joint,nopre,type1,p3,l2,nopc,nob/c,196500,3.99,0.3974,3150.0,132.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,5040.0,CIB,740,EXP,65-74,to_inst,54.88826816,North,direct,0
48458,73348,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,526500,4.25,0.392,2705.0,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,7800.0,CIB,824,CIB,35-44,not_inst,94.35483871,south,direct,0
51523,76413,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,316500,3.99,0.5104,5222.41,360.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1U,4200.0,CRIF,543,EXP,65-74,to_inst,61.1003861,south,direct,0
70384,95274,2019,cf,Male,pre,type2,p3,l1,nopc,b/c,406500,3.375,0.6057,6968.75,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,5400.0,EXP,603,EXP,65-74,to_inst,86.85897436,south,direct,0
63466,88356,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,386500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,9000.0,EQUI,639,EXP,35-44,to_inst,,south,direct,1
49856,74746,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,636500,3.875,0.169,1690.0,360.0,not_neg,not_int,not_lpsm,1088000.0,sb,pr,home,1U,9120.0,CIB,716,CIB,35-44,not_inst,58.50183824,south,direct,0
91395,116285,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,386500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,9000.0,EQUI,536,EXP,45-54,to_inst,,North,direct,1
23331,48221,2019,cf,Joint,pre,type1,p4,l1,nopc,nob/c,116500,3.75,0.4748,3705.73,180.0,not_neg,not_int,not_lpsm,158000.0,sb,pr,home,1U,4560.0,EXP,887,EXP,55-64,to_inst,73.73417722,North,direct,0
60057,84947,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,156500,3.5,0.5963,2820.0,180.0,not_neg,int_only,not_lpsm,218000.0,sb,pr,home,1U,6180.0,EXP,857,CIB,45-54,to_inst,71.78899083,North-East,direct,0
122658,147548,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,196500,3.75,0.9917,4311.18,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,2100.0,EXP,787,CIB,35-44,to_inst,86.18421053,North,direct,0
120048,144938,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,386500,4.625,1.4976,292.87,276.0,not_neg,not_int,lpsm,408000.0,sb,pr,home,1U,6900.0,EXP,512,CIB,25-34,to_inst,94.73039216,North,direct,0
72030,96920,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,486500,3.875,0.2806,1687.55,360.0,not_neg,not_int,not_lpsm,538000.0,sb,sr,home,1U,18840.0,CRIF,819,CIB,25-34,not_inst,90.42750929,North,direct,0
92694,117584,2019,cf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,116500,,,,360.0,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,1200.0,EXP,502,CIB,65-74,to_inst,65.4494382,south,direct,1
122254,147144,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,256500,3.625,0.7119,5747.5,180.0,not_neg,not_int,not_lpsm,958000.0,sb,pr,home,1U,8820.0,CIB,744,EXP,65-74,to_inst,26.77453027,North,direct,0
117452,142342,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,606500,3.99,0.247,1250.0,360.0,not_neg,not_int,not_lpsm,818000.0,sb,pr,home,1U,8820.0,CIB,597,EXP,35-44,to_inst,74.14425428,North,direct,0
88366,113256,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,166500,3.875,0.3919,4506.0,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,7800.0,EXP,842,EXP,35-44,to_inst,73.02631579,North,direct,0
137653,162543,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,436500,,,,360.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,6300.0,EQUI,676,EXP,55-64,not_inst,,south,direct,1
51835,76725,2019,cf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,426500,3.25,0.3809,9257.19,180.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1U,8700.0,CIB,726,EXP,55-64,to_inst,73.78892734,south,direct,0
61914,86804,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,436500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,3660.0,EQUI,747,EXP,65-74,not_inst,,North,direct,1
118387,143277,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,76500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,1080.0,EQUI,694,EXP,35-44,not_inst,,south,direct,1
53927,78817,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,266500,3.75,0.4475,1521.82,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,4500.0,CIB,800,EXP,25-34,not_inst,95.86330935,central,direct,0
73616,98506,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,246500,5.25,1.3944,1664.79,240.0,neg_amm,not_int,not_lpsm,278000.0,sb,pr,home,1U,12300.0,CIB,501,CIB,45-54,to_inst,88.66906475,North,direct,0
82070,106960,2019,cf,Male,nopre,type2,p4,l1,nopc,b/c,76500,,,,360.0,not_neg,not_int,not_lpsm,88000.0,sb,pr,home,1U,1560.0,EXP,865,CIB,55-64,to_inst,86.93181818,North,direct,1
40597,65487,2019,,Male,nopre,type3,p3,l1,nopc,nob/c,166500,,,,360.0,neg_amm,not_int,not_lpsm,158000.0,sb,pr,home,1U,2280.0,CRIF,722,CIB,55-64,to_inst,105.3797468,North,direct,1
79910,104800,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,126500,5.625,1.44,3799.0,360.0,not_neg,not_int,not_lpsm,158000.0,sb,ir,home,1U,7620.0,EXP,710,CIB,35-44,to_inst,80.06329114,North,direct,0
47248,72138,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,406500,4.99,1.371,4000.0,360.0,not_neg,not_int,not_lpsm,638000.0,sb,ir,home,1U,6420.0,CRIF,671,EXP,55-64,not_inst,63.71473354,North,direct,0
113685,138575,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,486500,3.875,0.5094,,300.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,7680.0,EXP,818,CIB,55-64,to_inst,77.46815287,south,direct,0
34562,59452,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,446500,4.5,1.1866,15869.0,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1U,5280.0,CRIF,896,EXP,55-64,to_inst,77.24913495,south,direct,0
130326,155216,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,266500,3.625,-0.0686,78.84,360.0,not_neg,not_int,not_lpsm,538000.0,sb,sr,home,1U,5640.0,CIB,583,CIB,55-64,not_inst,49.53531599,North,direct,0
75416,100306,2019,cf,Joint,nopre,type3,p4,l1,nopc,nob/c,446500,3.125,-0.4537,0.0,360.0,not_neg,int_only,not_lpsm,558000.0,sb,pr,home,1U,,CRIF,550,EXP,35-44,not_inst,80.01792115,North,direct,0
91083,115973,2019,ncf,Male,nopre,type3,p4,l1,nopc,nob/c,786500,3.25,-0.778,0.0,360.0,not_neg,not_int,not_lpsm,1418000.0,sb,pr,home,1U,,CIB,507,CIB,55-64,not_inst,55.46544429,North,direct,0
10112,35002,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,396500,3.625,-0.0698,0.0,360.0,not_neg,not_int,not_lpsm,998000.0,sb,pr,home,1U,9420.0,CRIF,689,EXP,35-44,not_inst,39.72945892,central,direct,0
74000,98890,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,416500,3.25,-0.3589,3500.0,360.0,not_neg,int_only,not_lpsm,498000.0,sb,pr,home,1U,7680.0,CRIF,605,EXP,55-64,not_inst,83.63453815,North,direct,0
97040,121930,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,76500,3.75,0.2835,2152.5,360.0,not_neg,not_int,not_lpsm,98000.0,sb,pr,home,1U,2340.0,CRIF,667,EXP,65-74,to_inst,78.06122449,North,direct,0
61049,85939,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,276500,4.75,0.3561,1150.0,360.0,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1U,4320.0,EXP,546,EXP,45-54,to_inst,44.74110032,North,direct,0
39045,63935,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,256500,3.875,0.0859,0.0,180.0,neg_amm,not_int,not_lpsm,398000.0,sb,pr,home,1U,4500.0,CIB,663,EXP,65-74,to_inst,64.44723618,south,direct,0
112467,137357,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,156500,3.99,0.7936,4385.0,360.0,not_neg,int_only,not_lpsm,168000.0,sb,pr,home,1U,3900.0,CIB,619,CIB,45-54,to_inst,93.1547619,south,direct,0
56661,81551,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,136500,4.99,0.5918,3360.0,360.0,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,3540.0,CRIF,693,EXP,55-64,to_inst,76.68539326,south,direct,0
12852,37742,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,366500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6420.0,EQUI,578,EXP,45-54,not_inst,,North,direct,1
33020,57910,2019,ncf,Female,nopre,type1,p1,l1,nopc,nob/c,606500,,,,360.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,14160.0,EQUI,777,EXP,45-54,to_inst,,North,direct,1
60926,85816,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,156500,3.99,0.5528,3020.0,120.0,not_neg,not_int,not_lpsm,1008000.0,sb,pr,home,1U,17460.0,CIB,585,CIB,55-64,to_inst,15.52579365,south,direct,0
42819,67709,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,416500,3.5,0.0045,693.75,336.0,not_neg,not_int,not_lpsm,698000.0,sb,pr,home,1U,6900.0,CRIF,671,EXP,35-44,not_inst,59.67048711,North,direct,0
67086,91976,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,266500,4.875,1.4859,0.0,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,4080.0,EXP,660,CIB,25-34,to_inst,95.86330935,south,direct,0
148052,172942,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,106500,4.625,0.7994,3175.0,360.0,not_neg,not_int,not_lpsm,148000.0,sb,pr,home,1U,1020.0,CRIF,566,CIB,55-64,to_inst,71.95945946,south,direct,0
43419,68309,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,216500,4.625,0.5138,451.33,360.0,neg_amm,not_int,not_lpsm,228000.0,sb,pr,home,1U,3240.0,CRIF,739,EXP,25-34,not_inst,94.95614035,south,direct,0
115193,140083,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,146500,3.99,0.5098,4514.44,360.0,not_neg,not_int,not_lpsm,288000.0,sb,ir,home,1U,4740.0,CRIF,590,CIB,65-74,to_inst,50.86805556,south,direct,0
79930,104820,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,156500,4.875,1.0807,1150.0,240.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,3960.0,EXP,559,CIB,65-74,to_inst,56.29496403,south,direct,0
78069,102959,2019,cf,Male,nopre,type1,p3,l2,nopc,nob/c,266500,4.25,0.1722,1080.75,360.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,3240.0,EXP,676,CIB,35-44,not_inst,72.41847826,North,direct,0
8931,33821,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,396500,3.5,-0.1882,0.0,360.0,not_neg,not_int,not_lpsm,1308000.0,sb,pr,home,1U,12660.0,CRIF,832,EXP,35-44,not_inst,30.31345566,south,direct,0
63986,88876,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,336500,3.25,-0.253,11854.71,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,3240.0,CRIF,737,CIB,65-74,to_inst,73.47161572,central,direct,0
619,25509,2019,cf,Female,nopre,type2,p2,l1,nopc,b/c,56500,4.25,1.711,1614.85,300.0,not_neg,not_int,not_lpsm,78000.0,sb,pr,home,1U,2880.0,EXP,893,CIB,65-74,to_inst,72.43589744,central,direct,0
86306,111196,2019,ncf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,306500,3.5,0.4108,10105.0,180.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,10440.0,CRIF,691,EXP,45-54,to_inst,78.99484536,south,direct,0
97999,122889,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,166500,4.25,0.6299,3162.16,360.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,6540.0,CRIF,852,EXP,35-44,to_inst,88.56382979,south,direct,0
21607,46497,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,306500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2820.0,EQUI,563,EXP,35-44,not_inst,,North,direct,1
55419,80309,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,216500,4.875,0.7722,7026.34,360.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,4260.0,EXP,679,EXP,65-74,to_inst,64.05325444,south,direct,0
4124,29014,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,206500,3.99,0.4407,4953.06,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,4200.0,EXP,548,CIB,25-34,to_inst,71.70138889,North,direct,0
95147,120037,2019,ncf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,386500,3.99,0.0441,9535.0,360.0,not_neg,not_int,not_lpsm,638000.0,sb,pr,home,1U,4680.0,CRIF,775,CIB,45-54,to_inst,60.5799373,south,direct,0
51045,75935,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,436500,4.75,0.492,1930.0,360.0,not_neg,not_int,not_lpsm,588000.0,sb,ir,home,1U,10800.0,CRIF,876,EXP,45-54,not_inst,74.23469388,North,direct,0
128741,153631,2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,256500,3.375,0.4787,5735.34,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,2880.0,CRIF,650,EXP,65-74,to_inst,86.0738255,central,direct,0
61938,86828,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,436500,3.75,-0.1447,9797.0,360.0,neg_amm,not_int,not_lpsm,628000.0,sb,pr,home,1U,6180.0,EXP,870,EXP,35-44,to_inst,69.50636943,south,direct,0
110547,135437,2019,cf,Female,nopre,type2,p1,l1,nopc,b/c,206500,4.5,1.4174,0.0,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,5640.0,CRIF,850,EXP,<25,not_inst,94.72477064,North,direct,0
114641,139531,2019,cf,Joint,nopre,type3,p4,l1,nopc,nob/c,486500,3.49,0.212,0.0,180.0,not_neg,int_only,not_lpsm,548000.0,sb,pr,home,1U,,CIB,699,EXP,45-54,not_inst,88.77737226,North,direct,0
110137,135027,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,406500,3.75,0.032,0.0,360.0,not_neg,not_int,not_lpsm,808000.0,sb,pr,home,1U,10800.0,EXP,538,EXP,45-54,not_inst,50.30940594,south,direct,0
61168,86058,2019,cf,Joint,nopre,type1,p4,l2,nopc,nob/c,226500,3.99,0.1265,6555.75,300.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,6360.0,CIB,865,EXP,55-64,to_inst,73.53896104,North,direct,0
18305,43195,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,246500,,,,324.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3600.0,EQUI,710,EXP,35-44,to_inst,,North,direct,1
140254,165144,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,446500,3.625,0.2158,6593.64,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,10740.0,CIB,501,EXP,45-54,not_inst,84.56439394,North,direct,0
119348,144238,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,186500,4.125,0.7154,3862.36,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,7320.0,EXP,517,EXP,65-74,to_inst,75.2016129,North,direct,0
127845,152735,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,86500,3.75,1.2823,3061.25,180.0,not_neg,not_int,not_lpsm,118000.0,sb,pr,home,1U,4560.0,CIB,845,EXP,55-64,to_inst,73.30508475,south,direct,0
43908,68798,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,526500,3.875,0.2524,295.0,360.0,not_neg,not_int,not_lpsm,678000.0,sb,pr,home,1U,7380.0,CIB,807,CIB,45-54,to_inst,77.65486726,south,direct,0
125517,150407,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,206500,3.75,0.4185,3663.25,180.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,5820.0,EXP,655,EXP,35-44,to_inst,83.26612903,south,direct,0
94167,119057,2019,cf,Sex Not Available,nopre,type3,p1,l1,nopc,nob/c,186500,4.375,0.1081,259.68,360.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,1980.0,CRIF,757,CIB,45-54,to_inst,99.20212766,south,direct,0
3653,28543,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,336500,4.99,1.268,201.08,360.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1U,4440.0,CRIF,556,EXP,35-44,not_inst,68.95491803,North,direct,0
104837,129727,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,176500,4.99,0.7791,1150.0,360.0,neg_amm,not_int,not_lpsm,178000.0,sb,pr,home,1U,5040.0,CRIF,684,CIB,55-64,to_inst,99.15730337,North,direct,0
49645,74535,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,486500,5.25,1.4793,41.93,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,10200.0,EXP,841,EXP,45-54,to_inst,85.65140845,central,direct,0
52905,77795,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,226500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5220.0,EQUI,516,EXP,35-44,not_inst,,south,direct,1
88742,113632,2019,ncf,Male,nopre,type1,p1,l1,nopc,nob/c,556500,4.25,0.221,1095.0,360.0,not_neg,not_int,not_lpsm,748000.0,sb,pr,home,1U,17760.0,CRIF,588,EXP,25-34,not_inst,74.39839572,North,direct,0
107366,132256,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,256500,3.125,0.0034,2862.5,180.0,not_neg,not_int,not_lpsm,998000.0,sb,pr,home,1U,11100.0,CRIF,612,EXP,45-54,not_inst,25.70140281,North,direct,0
84687,109577,2019,cf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,426500,4.125,0.3509,2848.25,360.0,not_neg,not_int,not_lpsm,548000.0,sb,pr,home,1U,8640.0,CIB,586,EXP,55-64,to_inst,77.82846715,south,direct,0
119456,144346,2019,ncf,Female,nopre,type1,p1,l1,nopc,nob/c,626500,4.99,0.852,3700.65,360.0,not_neg,not_int,not_lpsm,928000.0,sb,ir,home,2U,15060.0,CIB,643,CIB,65-74,not_inst,67.51077586,North,direct,0
63992,88882,2019,cf,Female,pre,type2,p1,l1,nopc,b/c,286500,4.25,0.8252,4813.34,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,5100.0,EXP,704,CIB,35-44,to_inst,87.34756098,south,direct,0
7760,32650,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,276500,,,,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,5040.0,CRIF,741,EXP,25-34,to_inst,96.00694444,North,direct,1
49365,74255,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,426500,3.5,-0.1924,3360.0,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,7200.0,CIB,716,CIB,35-44,to_inst,75.08802817,North,direct,0
14464,39354,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,476500,4.125,0.6952,8771.62,360.0,not_neg,int_only,not_lpsm,678000.0,sb,ir,home,1U,9120.0,EXP,895,EXP,45-54,not_inst,70.28023599,North,direct,0
94712,119602,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,536500,3.75,0.6293,7938.75,240.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,9240.0,EXP,685,CIB,25-34,to_inst,75.77683616,south,direct,0
77657,102547,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,486500,3.75,-0.0456,1352.12,300.0,not_neg,not_int,not_lpsm,868000.0,sb,pr,home,1U,6600.0,CIB,900,CIB,45-54,not_inst,56.0483871,North,direct,0
